seq,year,age,sex,subject,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,interest,enjoy,mastgrad
428,1,20,2,4,7,3,5,4,7,3,1,7,1,4,7,1,7,6,4
429,1,17,2,4,7,4,5,2,4,7,6,6,5,3,6,7,7,7,4
430,1,17,1,4,7,4,5,3,5,3,4,6,1,5,5,7,7,6,4
431,1,16,1,4,7,5,4,3,6,4,5,7,4,3,7,2,7,7,3
432,1,17,2,4,6,6,7,3,2,6,6,2,6,5,4,4,6,6,4
433,1,NA,2,4,5,7,5,4,1,4,3,2,5,4,4,7,7,7,1
434,1,18,1,4,7,1,3,6,7,6,1,7,4,NA,5,NA,7,7,4
435,2,17,2,4,7,4,5,2,6,2,4,7,5,1,5,2,7,7,2
436,2,18,2,4,7,5,5,5,7,6,5,5,4,5,6,2,5,5,4
437,2,20,2,4,7,2,6,5,6,4,3,5,5,4,6,3,6,6,6
438,2,NA,2,4,7,2,6,1,7,1,6,7,6,1,7,6,7,7,2
439,2,18,2,4,6,6,2,7,7,6,5,7,6,4,7,4,7,7,2
440,2,18,1,4,7,6,6,7,7,7,6,7,5,7,7,7,4,5,3
441,2,18,2,4,7,7,6,7,7,7,6,6,5,4,7,4,6,6,1
442,2,17,1,4,7,2,2,4,6,4,4,7,2,3,4,4,7,7,1
443,2,18,2,4,7,2,1,7,7,7,1,7,1,7,7,7,7,7,1
444,2,18,2,4,7,3,5,3,7,1,5,7,2,1,7,3,7,7,2
445,2,18,2,4,7,6,6,3,5,4,6,5,6,NA,5,5,5,5,4
446,2,18,2,4,5,2,4,2,6,6,5,5,2,2,6,1,6,6,4
447,2,19,2,4,6,6,1,3,6,4,3,5,6,6,6,6,7,7,4
448,2,18,2,4,7,3,2,7,5,7,2,4,2,5,5,7,5,4,4
449,2,18,2,4,5,3,5,2,7,3,6,7,2,2,7,1,7,7,3
450,2,NA,1,4,7,6,6,4,4,4,4,4,1,1,6,1,6,6,2
451,2,18,2,4,NA,NA,4,5,7,6,4,7,4,5,7,4,7,6,3
452,2,18,2,4,6,3,1,6,7,6,6,7,1,1,7,1,7,7,1
453,2,18,1,4,1,2,2,1,7,1,1,7,2,1,6,2,6,6,1
454,2,18,2,4,6,5,6,5,5,5,6,7,7,6,6,7,6,6,1
455,2,18,2,4,2,2,4,4,7,5,3,6,3,2,6,1,7,7,7
456,2,18,NA,4,6,5,7,7,4,7,5,6,3,7,6,6,7,6,4
457,2,18,1,4,4,3,2,5,6,1,1,5,1,1,5,5,7,7,1
458,2,17,2,4,6,5,2,7,5,5,2,5,3,5,7,2,7,7,1
459,2,18,2,4,7,2,5,1,2,1,2,7,2,1,7,2,6,4,1
460,2,18,2,4,7,3,6,6,1,7,3,2,7,6,3,2,7,4,6
461,2,18,2,4,7,7,7,4,4,4,5,7,1,1,7,1,7,7,1
462,2,17,2,4,5,2,4,4,5,4,4,6,2,4,4,5,5,6,1
463,2,17,2,4,7,1,5,7,4,7,3,7,3,7,7,5,7,7,4
464,2,18,2,4,5,2,5,4,7,5,5,6,5,5,6,6,7,7,2
465,2,18,1,4,7,4,5,4,5,6,4,5,6,5,6,5,3,3,5
466,2,18,2,4,4,6,7,7,7,7,6,7,4,6,7,3,6,6,4
467,2,18,2,4,1,1,7,1,7,7,1,7,1,7,7,1,7,7,2
468,2,19,2,4,7,5,2,7,5,7,2,4,2,7,4,1,5,4,4
469,2,18,1,4,3,6,5,6,6,6,2,5,1,1,6,1,5,6,6
470,2,18,2,4,6,5,3,2,3,3,4,6,5,4,4,4,6,6,4
471,2,18,1,4,4,2,2,5,4,5,5,6,1,3,5,4,6,6,3
472,2,18,2,4,5,2,4,6,7,4,5,7,5,4,6,5,7,5,NA
473,2,18,2,4,3,5,4,4,4,3,5,7,1,2,6,1,4,4,2
474,2,18,2,4,6,2,4,4,6,5,3,6,1,4,5,1,6,6,2
475,2,18,1,4,7,4,6,5,6,6,6,6,6,6,5,5,5,5,4
476,2,17,2,4,7,5,5,5,4,4,3,7,3,4,6,4,6,6,6
477,2,18,2,4,6,6,5,2,6,4,5,6,5,4,6,5,6,4,5
478,2,18,1,4,5,2,2,5,6,5,4,6,4,3,6,3,6,5,4
479,2,17,2,4,7,4,7,7,6,7,6,7,5,7,7,3,7,7,2
480,2,17,2,4,5,3,4,4,5,5,3,4,3,5,5,3,6,6,4
481,2,18,2,4,7,7,6,3,7,2,4,7,6,2,6,5,6,6,1
482,2,18,2,4,5,2,5,2,6,2,2,6,2,2,6,2,7,7,5
483,2,20,1,4,7,7,5,1,7,1,1,7,1,7,7,1,7,7,4
484,2,18,2,4,7,5,6,7,5,7,5,7,7,4,7,7,1,1,7
485,2,18,2,4,5,7,7,6,2,4,5,5,6,3,7,7,7,3,2
486,2,19,2,4,7,6,2,5,5,6,2,6,5,4,5,5,6,7,4
487,2,18,2,4,5,3,4,7,4,4,2,7,3,7,4,6,6,6,2
488,2,18,2,4,7,3,1,6,7,6,1,5,4,1,7,1,7,7,4
489,2,17,2,4,7,3,3,6,7,6,3,7,2,6,7,2,7,7,3
490,2,18,1,4,7,1,1,5,6,5,1,7,6,6,7,7,5,4,3
491,NA,17,1,4,7,1,7,1,7,1,1,7,7,1,7,7,7,7,7
492,1,NA,2,4,7,1,1,7,7,7,7,7,1,1,7,1,7,7,1
493,1,NA,2,4,7,7,7,7,7,7,6,7,6,6,7,7,7,7,1
494,1,17,1,4,5,5,2,6,6,5,2,5,5,5,5,5,6,6,1
495,1,17,1,4,6,5,6,6,6,7,7,7,7,7,7,6,6,5,2
496,1,18,2,4,7,1,1,7,7,6,6,7,1,7,7,1,6,7,1
497,1,17,2,4,7,1,4,5,7,7,5,7,1,7,7,1,7,7,4
498,1,18,2,4,4,2,1,5,6,5,4,7,3,3,7,3,6,6,4
499,1,NA,2,4,7,5,6,6,6,4,6,7,6,6,7,7,6,5,4
